Location,Year,Measure,Type
Las Vegas,1980,"463,087", Population 
Las Vegas,1981,"492,747", Population 
Las Vegas,1982,"513,708", Population 
Las Vegas,1983,"530,195", Population 
Las Vegas,1984,"544,893", Population 
Las Vegas,1985,"561,081", Population 
Las Vegas,1986,"580,775", Population 
Las Vegas,1987,"611,763", Population 
Las Vegas,1988,"647,410", Population 
Las Vegas,1989,"691,467", Population 
Las Vegas,1990,"756,170", Population 
Las Vegas,1991,"816,085", Population 
Las Vegas,1992,"857,357", Population 
Las Vegas,1993,"902,338", Population 
Las Vegas,1994,"972,624", Population 
Las Vegas,1995,"1,035,847", Population 
Las Vegas,1996,"1,099,894", Population 
Las Vegas,1997,"1,177,230", Population 
Las Vegas,1998,"1,251,258", Population 
Las Vegas,1999,"1,321,254", Population 
Las Vegas,2000,"1,393,509", Population 
Las Vegas,2001,"1,456,695", Population 
Las Vegas,2002,"1,515,538", Population 
Las Vegas,2003,"1,572,618", Population 
Las Vegas,2004,"1,646,238", Population 
Las Vegas,2005,"1,707,838", Population 
Las Vegas,2006,"1,776,774", Population 
Las Vegas,2007,"1,836,751", Population 
Las Vegas,2008,"1,877,110", Population 
Las Vegas,2009,"1,900,064", Population 
Las Vegas,2010,"1,953,422", Population 
Las Vegas,2011,"1,967,926", Population 
Las Vegas,2012,"2,000,759", Population 
Las Vegas,2013,"2,027,868", Population 
Las Vegas,2014,"2,069,681", Population 
Las Vegas,2015,"2,114,801", Population 
Las Vegas,1980,"92,737",AcreFeet
Las Vegas,1981,"110,017",AcreFeet
Las Vegas,1982,"102,326",AcreFeet
Las Vegas,1983,"86,596",AcreFeet
Las Vegas,1984,"101,492",AcreFeet
Las Vegas,1985,"101,709",AcreFeet
Las Vegas,1986,"112,217",AcreFeet
Las Vegas,1987,"108,863",AcreFeet
Las Vegas,1988,"129,420",AcreFeet
Las Vegas,1989,"156,213",AcreFeet
Las Vegas,1990,"178,111",AcreFeet
Las Vegas,1991,"180,224",AcreFeet
Las Vegas,1992,"177,551",AcreFeet
Las Vegas,1993,"204,402",AcreFeet
Las Vegas,1994,"227,542",AcreFeet
Las Vegas,1995,"217,439",AcreFeet
Las Vegas,1996,"249,248",AcreFeet
Las Vegas,1997,"242,777",AcreFeet
Las Vegas,1998,"245,303",AcreFeet
Las Vegas,1999,"291,130",AcreFeet
Las Vegas,2000,"321,984",AcreFeet
Las Vegas,2001,"315,429",AcreFeet
Las Vegas,2002,"326,718",AcreFeet
Las Vegas,2003,"298,392",AcreFeet
Las Vegas,2004,"283,006",AcreFeet
Las Vegas,2005,"291,778",AcreFeet
Las Vegas,2006,"292,864",AcreFeet
Las Vegas,2007,"300,312",AcreFeet
Las Vegas,2008,"269,654",AcreFeet
Las Vegas,2009,"248,613",AcreFeet
Las Vegas,2010,"241,437",AcreFeet
Las Vegas,2011,"222,847",AcreFeet
Las Vegas,2012,"237,161",AcreFeet
Las Vegas,2013,"223,563",AcreFeet
Las Vegas,2014,"224,616",AcreFeet
Las Vegas,2015,"222,729",AcreFeet
